ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,NodeMCU_V1_ESP12E,U1,MY NODEMCU,1,NodeMCU-32SLua,Ai-Thinker,LCSC,C111436
2,1000uF (25v),"C1,C2",CAP-D10.0XF5.0,2,1000uF 25V,ValuePro,LCSC,C10750
3,DS3231-RTC,RTC1,DS3231-RTC-24C32-EEPROM VERTICAL SIPPY,1,?,,,
4,SN74HCT245N,U3,DIP20,1,SN74HCT245N,Texas Instruments,LCSC,C133640
5,M04,JP1,MKDS3/4-5.08,1,MKDS3/4-5.08,Phoenix Contact,LCSC,C90087
6,470 (1%),R1,AXIAL-0.3,1,MFR0W4F4700A50,UniOhm,LCSC,C58592
7,2.5k (1%),R2,AXIAL-0.3,1,RN16T52501F,TA-I Tech,LCSC,C172683
8,BH1620FVC-TR,U4,WSOF-5,1,BH1620FVC-TR,ROHM,LCSC,C84991
9,MKDS3/2-5.08,CN2,MKDS3/2-5.08,1,MKDS3/2-5.08,Phoenix Contact,LCSC,C89120
10,47uF,C3,CAP-5*7,1,UTS0J470MDD,Nichicon,LCSC,C308860
